ticker,disease,stage,date,catalyst,label
SPPI,Non-Hodgkin’s lymphoma,Approved,9/4/09,"Approved September 4, 2009.",5
JAZZ,Fibromyalgia,CRL,10/11/10,"CRL received October 11, 2010.",4
ASRT,Postherpetic neuralgia - shingles,Approved,1/28/11,"Approved January 28, 2011.",5
ASRT,Colorectal cancer,Approved,4/29/11,"Approved April 29, 2011.",5
SPPI,Colorectal cancer,Approved,4/29/11,"Approved April 29, 2011.",5
TAK,Hodgkin lymphoma and Anaplastic large cell lymphoma,Approved,8/19/11,"Approval announced August 19, 2011.",5
SGEN,Hodgkin lymphoma and Anaplastic large cell lymphoma,Approved,8/19/11,"Approval announced August 19, 2011.",5
PCRX,Postsurgical pain,Approved,10/31/11,"Approved October 31, 2011.",5
INCY,Myelofibrosis,Approved,11/16/11,"Approved November 16, 2011.",5
HALO,Overactive bladder,Approved,12/8/11,"Approved December 8, 2011.",5
CRIS,Basal Cell Carcinoma,Approved,1/30/12,"Approved January 30, 2012.",5
CORT,Cushing's Syndrome,Approved,2/17/12,"Approved February 17, 2012.",5
PTPI,Erectile Dysfunction,Approved,4/27/12,"Approved April 27, 2012.",5
PLX,Gaucher disease,Approved,5/1/12,"Approved May 1, 2012.",5
EBS,Anthrax Vaccine,Approved,5/17/12,"Approved May 17, 2012.",5
RGEN,Detection of pancreatic duct abnormalities,CRL,6/22/12,"CRL received June 22, 2012.",4
SUPN,Epilepsy,Approved,10/22/12,"Approved October 22, 2012.",5
TAK,Medullary thyroid cancer,Approved,11/29/12,"Approved November 29, 2012.",5
EXEL,Medullary thyroid cancer,Approved,11/29/12,"Approved November 29, 2012.",5
AIM,CFS,CRL,2/4/13,"CRL February 4, 2013.",4
NAVB,Lymphatic-tissue tracing agent,Approved,3/13/13,"Approved March 13, 2013.",5
ASRT,Hot flashes,CRL,5/31/13,"CRL issued May 31, 2013.",4
AVDL,Reversal of the effects of non-depolarizing neuromuscular blocking agents after surgery,Approved,6/3/13,"Approved June 3, 2013.",5
TBPH,Hospital-acquired and ventilator-associated bacterial pneumonia (HABP/VABP),Approved,6/21/13,"Approved June 21, 2013.",5
SUPN,Epilepsy,Approved,8/19/13,"Approved Aug 19, 2013.",5
HALO,Rheumatoid arthritis (RA),Approved,10/14/13,"Approved Oct 14, 2013.",5
ABBV,Relapsed or refractory MCL mantle cell lymphoma,Approved,11/13/13,"Approved November 13, 2013.",5
VNDA,Insomnia,Approved,1/31/14,"Approved January 31, 2014.",5
ABBV,Cancer - Chronic Lymphocytic Leukemia Who Have Received at Least One Prior Therapy,Approved,2/12/14,"Approved February 12, 2014.",5
DRRX,Post-operative pain relief,CRL,2/12/14,"CRL issued February 12, 2014.",4
BMRN,(MPS IVA) Morquio A Syndrome,Approved,2/14/14,"Approved February 14, 2014.",5
ENDP,Men diagnosed with hypogonadism,Approved,3/6/14,"Approved March 6, 2014.",5
NVS,Reduction of thrombotic cardiovascular events including stent thrombosis in patients with coronary artery disease undergoing percutaneous coronary intervention (PCI),CRL,4/30/14,CRL April 30 2014.,4
OMER,Cataract surgery,Approved,6/2/14,"Approved June 2, 2014.",5
COLL,Opioid dependence,Approved,6/6/14,"Approved June 6, 2014.",5
NAVB,Head and Neck Cancer,Approved,6/13/14,"Approved June 13, 2014.",5
MNKD,Type 1/2 diabetes,Approved,6/27/14,"Approved June 27, 2014.",5
