ticker,disease,stage,date,catalyst
SPPI,Non-Hodgkin’s lymphoma,Approved,2009-09-04 00:00:00,"Approved September 4, 2009."
JAZZ,Fibromyalgia,CRL,2010-10-11 00:00:00,"CRL received October 11, 2010."
ASRT,Postherpetic neuralgia - shingles,Approved,2011-01-28 00:00:00,"Approved January 28, 2011."
ASRT,Colorectal cancer,Approved,2011-04-29 00:00:00,"Approved April 29, 2011."
SPPI,Colorectal cancer,Approved,2011-04-29 00:00:00,"Approved April 29, 2011."
TAK,Hodgkin lymphoma and Anaplastic large cell lymphoma,Approved,2011-08-19 00:00:00,"Approval announced August 19, 2011."
SGEN,Hodgkin lymphoma and Anaplastic large cell lymphoma,Approved,2011-08-19 00:00:00,"Approval announced August 19, 2011."
PCRX,Postsurgical pain,Approved,2011-10-31 00:00:00,"Approved October 31, 2011."
INCY,Myelofibrosis,Approved,2011-11-16 00:00:00,"Approved November 16, 2011."
HALO,Overactive bladder,Approved,2011-12-08 00:00:00,"Approved December 8, 2011."
CRIS,Basal Cell Carcinoma,Approved,2012-01-30 00:00:00,"Approved January 30, 2012."
CORT,Cushing's Syndrome,Approved,2012-02-17 00:00:00,"Approved February 17, 2012."
PTPI,Erectile Dysfunction,Approved,2012-04-27 00:00:00,"Approved April 27, 2012."
PLX,Gaucher disease,Approved,2012-05-01 00:00:00,"Approved May 1, 2012."
EBS,Anthrax Vaccine,Approved,2012-05-17 00:00:00,"Approved May 17, 2012."
RGEN,Detection of pancreatic duct abnormalities,CRL,2012-06-22 00:00:00,"CRL received June 22, 2012."
SUPN,Epilepsy,Approved,2012-10-22 00:00:00,"Approved October 22, 2012."
TAK,Medullary thyroid cancer,Approved,2012-11-29 00:00:00,"Approved November 29, 2012."
EXEL,Medullary thyroid cancer,Approved,2012-11-29 00:00:00,"Approved November 29, 2012."
AIM,CFS,CRL,2013-02-04 00:00:00,"CRL February 4, 2013."
NAVB,Lymphatic-tissue tracing agent,Approved,2013-03-13 00:00:00,"Approved March 13, 2013."
ASRT,Hot flashes,CRL,2013-05-31 00:00:00,"CRL issued May 31, 2013."
AVDL,Reversal of the effects of non-depolarizing neuromuscular blocking agents after surgery,Approved,2013-06-03 00:00:00,"Approved June 3, 2013."
TBPH,Hospital-acquired and ventilator-associated bacterial pneumonia (HABP/VABP),Approved,2013-06-21 00:00:00,"Approved June 21, 2013."
SUPN,Epilepsy,Approved,2013-08-19 00:00:00,"Approved Aug 19, 2013."
HALO,Rheumatoid arthritis (RA),Approved,2013-10-14 00:00:00,"Approved Oct 14, 2013."
ABBV,Relapsed or refractory MCL mantle cell lymphoma,Approved,2013-11-13 00:00:00,"Approved November 13, 2013."
VNDA,Insomnia,Approved,2014-01-31 00:00:00,"Approved January 31, 2014."
DRRX,Post-operative pain relief,CRL,2014-02-12 00:00:00,"CRL issued February 12, 2014."
ABBV,Cancer - Chronic Lymphocytic Leukemia Who Have Received at Least One Prior Therapy,Approved,2014-02-12 00:00:00,"Approved February 12, 2014."
BMRN,(MPS IVA) Morquio A Syndrome,Approved,2014-02-14 00:00:00,"Approved February 14, 2014."
ENDP,Men diagnosed with hypogonadism,Approved,2014-03-06 00:00:00,"Approved March 6, 2014."
NVS,Reduction of thrombotic cardiovascular events including stent thrombosis in patients with coronary artery disease undergoing percutaneous coronary intervention (PCI),CRL,2014-04-30 00:00:00,CRL April 30 2014.
OMER,Cataract surgery,Approved,2014-06-02 00:00:00,"Approved June 2, 2014."
COLL,Opioid dependence,Approved,2014-06-06 00:00:00,"Approved June 6, 2014."
NAVB,Head and Neck Cancer,Approved,2014-06-13 00:00:00,"Approved June 13, 2014."
MNKD,Type 1/2 diabetes,Approved,2014-06-27 00:00:00,"Approved June 27, 2014."
AVDL,Clinically important hypotension resulting primarily from vasodilation in the setting of anesthesia,Approved,2014-06-30 00:00:00,"Approved June 30, 2014."
EGRX,Chronic lymphocytic leukemia; Indolent non-Hodgkin's lymphoma - cancer,Approved,2014-07-02 00:00:00,"Tentative approval July 2 2014. Teva has also received orphan drug and related pediatric exclusivity expiring in September 2015 and May 2016 for the CLL and NHL indications, respectively."
ASRT,Peripheral T-Cell Lymphoma cancer,Approved,2014-07-07 00:00:00,"Approved July 7, 2014."
SPPI,Peripheral T-Cell Lymphoma cancer,Approved,2014-07-07 00:00:00,"Approved July 7, 2014."
EGRX,Malignant hyperthermia - cancer,Approved,2014-07-23 00:00:00,"Approved July 23, 2014 under priority review."
NVS,ABSSSI,Approved,2014-08-06 00:00:00,"Approved August 6, 2014 under priority review"
AKBA,Hyperphosphatemia,Approved,2014-09-05 00:00:00,"Approved Sept 5, 2014."
HALO,Subcutaneous treatment for patients with primary immunodeficiency (PI),Approved,2014-09-12 00:00:00,"Approved September 12, 2014."
NKTR,Opioid-induced constipation (OIC),Approved,2014-09-16 00:00:00,"Approved September 16, 2014."
EYPT,Diabetic macular edema,Approved,2014-09-26 00:00:00,Approved Sept 26 2014.
ALIM,Diabetic macular edema,Approved,2014-09-26 00:00:00,"Approved September 26, 2014,"
LNTH,Chronic pain,Approved,2014-09-29 00:00:00,"Approved September 29, 2014."
